<ticker>,<date>,<time>,<close>
banknifty_option_contract,4/2/2022,10:30:00,257.35
banknifty_option_contract,4/2/2022,10:31:00,256.45
banknifty_option_contract,4/2/2022,10:32:00,254.65
banknifty_option_contract,4/2/2022,10:33:00,257.85
banknifty_option_contract,4/2/2022,10:34:00,248.3
banknifty_option_contract,4/2/2022,10:35:00,227.85
banknifty_option_contract,4/2/2022,10:36:00,233.35
banknifty_option_contract,4/2/2022,10:37:00,227.85
banknifty_option_contract,4/2/2022,10:38:00,231.3
banknifty_option_contract,4/2/2022,10:39:00,235.75
banknifty_option_contract,4/2/2022,10:40:00,232.7
banknifty_option_contract,4/2/2022,10:41:00,236
banknifty_option_contract,4/2/2022,10:42:00,236.7
banknifty_option_contract,4/2/2022,10:43:00,235.7
banknifty_option_contract,4/2/2022,10:44:00,227.3
banknifty_option_contract,4/2/2022,10:45:00,220
banknifty_option_contract,4/2/2022,10:46:00,222.35
banknifty_option_contract,4/2/2022,10:47:00,223.6
banknifty_option_contract,4/2/2022,10:48:00,221.95
banknifty_option_contract,4/2/2022,10:49:00,230.7
banknifty_option_contract,4/2/2022,10:50:00,230.6
banknifty_option_contract,4/2/2022,10:51:00,234
banknifty_option_contract,4/2/2022,10:52:00,235.5
banknifty_option_contract,4/2/2022,10:53:00,237.45
banknifty_option_contract,4/2/2022,10:54:00,235.25
banknifty_option_contract,4/2/2022,10:55:00,237.6
banknifty_option_contract,4/2/2022,10:56:00,239.55
banknifty_option_contract,4/2/2022,10:57:00,234.5
banknifty_option_contract,4/2/2022,10:58:00,231.5
banknifty_option_contract,4/2/2022,10:59:00,239.95
banknifty_option_contract,4/2/2022,11:00:00,244.15
banknifty_option_contract,4/2/2022,11:01:00,243.35
banknifty_option_contract,4/2/2022,11:02:00,235.85
banknifty_option_contract,4/2/2022,11:03:00,229.7
banknifty_option_contract,4/2/2022,11:04:00,226.7
banknifty_option_contract,4/2/2022,11:05:00,227
banknifty_option_contract,4/2/2022,11:06:00,231.75
banknifty_option_contract,4/2/2022,11:07:00,231.05
banknifty_option_contract,4/2/2022,11:08:00,232.45
